"","X","ID","achievement","social","immersion","dfs","fss","scenario"
"P01",1,"P01",2.28571428571429,"upper",2.8,3.22222222222222,2.88888888888889,"gamified"
"P02",2,"P02",3.28571428571429,"upper",2.2,3.66666666666667,3.88888888888889,"gamified"
"P03",3,"P03",3.14285714285714,"lower",3.4,3.44444444444444,2.66666666666667,"gamified"
"P04",4,"P04",3.57142857142857,"lower",3.8,3.55555555555556,4.55555555555556,"gamified"
"P05",5,"P05",3.42857142857143,"upper",3.8,3.77777777777778,2.88888888888889,"gamified"
"P06",6,"P06",2.57142857142857,"upper",2.4,3.77777777777778,3.44444444444444,"gamified"
"P07",7,"P07",3,"upper",2.4,3.44444444444444,2.77777777777778,"gamified"
"P08",8,"P08",3,"lower",3.2,3.66666666666667,4.55555555555556,"gamified"
"P09",9,"P09",3.71428571428571,"upper",3.4,4,2.88888888888889,"gamified"
"P10",10,"P10",2.14285714285714,"lower",2,3.11111111111111,3.33333333333333,"gamified"
"P11",11,"P11",4.85714285714286,"lower",3.8,3.44444444444444,3,"gamified"
"P12",12,"P12",3.42857142857143,"upper",2.4,2.77777777777778,3.11111111111111,"gamified"
"P13",13,"P13",4,"upper",3.4,3.77777777777778,3.44444444444444,"gamified"
"P14",14,"P14",3,"lower",3,2.77777777777778,4,"gamified"
"P15",15,"P15",3.85714285714286,"lower",4.2,2.55555555555556,4.55555555555556,"gamified"
"P16",16,"P16",2.85714285714286,"lower",2.6,3,4.44444444444444,"gamified"
"P17",17,"P17",4.14285714285714,"upper",3.2,3.44444444444444,3.88888888888889,"non.gamified"
"P18",18,"P18",4.42857142857143,"upper",3.2,3.22222222222222,3.22222222222222,"non.gamified"
"P19",19,"P19",3.57142857142857,"lower",4,3.77777777777778,2.55555555555556,"non.gamified"
"P20",20,"P20",3.57142857142857,"lower",2.6,3.88888888888889,3.33333333333333,"non.gamified"
"P21",21,"P21",2.71428571428571,"lower",2.8,3.88888888888889,3.22222222222222,"non.gamified"
"P22",22,"P22",1.71428571428571,"lower",3.6,3.11111111111111,3.66666666666667,"non.gamified"
"P23",23,"P23",3.14285714285714,"lower",2.6,3.88888888888889,3.22222222222222,"non.gamified"
"P24",24,"P24",2.71428571428571,"upper",3.2,3.77777777777778,4.44444444444444,"non.gamified"
"P25",25,"P25",3.28571428571429,"lower",3.2,3,3.22222222222222,"non.gamified"
"P26",26,"P26",2.71428571428571,"lower",2.2,3.55555555555556,3.55555555555556,"non.gamified"
"P27",27,"P27",4,"upper",4.4,3.22222222222222,3.44444444444444,"non.gamified"
"P28",28,"P28",2.42857142857143,"upper",2,4,4,"non.gamified"
"P29",29,"P29",3.85714285714286,"upper",3.8,4,3.88888888888889,"non.gamified"
"P30",30,"P30",3.28571428571429,"lower",2.8,3.88888888888889,3.55555555555556,"non.gamified"
"P31",31,"P31",4.28571428571429,"upper",4.2,2.55555555555556,2.66666666666667,"non.gamified"
"P32",32,"P32",2.57142857142857,"upper",2.4,4.11111111111111,4.55555555555556,"non.gamified"
